Price,High,Low,Open,Volume,Close
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,
27-03-2026 13:30,255.4929962,252.7801056,253.9100037,9684416,254.4799957
27-03-2026 14:30,254.6900024,251.8000031,254.4600067,5252638,252.6199951
27-03-2026 15:30,253.2400055,251.6900024,252.6199951,3302520,251.7799988
27-03-2026 16:30,252.7599945,250.3699951,251.7749939,3282303,250.4100037
27-03-2026 17:30,250.5800018,248.6349945,250.4100037,4579763,249.3849945
27-03-2026 18:30,249.5200043,248.25,249.4199982,4113587,248.4098969
27-03-2026 19:30,249.3699951,248.0700073,248.4100037,5252096,248.6199951
30-03-2026 13:30,250.8399963,246.9700012,249.9949951,6260227,247.8300018
30-03-2026 14:30,248,246.0399933,247.8200073,4008529,246.5299988
30-03-2026 15:30,247.2100067,245.9600067,246.5299988,2817533,246.0200043
30-03-2026 16:30,247.4400024,245.9600067,246.0099945,2713501,246.25
30-03-2026 17:30,247.3200073,245.9949951,246.2550049,2877202,246.4801941
30-03-2026 18:30,246.8300018,245.8300018,246.5099945,2969148,245.8899994
30-03-2026 19:30,247.0399933,245.5099945,245.8899994,4551161,246.5399933
31-03-2026 13:30,249.2700043,247.6399994,247.8899994,5972142,248.940094
31-03-2026 14:30,249.0099945,247.1009979,248.940094,3461229,248.4299927
31-03-2026 15:30,250.6900024,247.6600037,248.4499969,3436143,250.3399963
31-03-2026 16:30,253.9299011,250.1799927,250.3498993,5752049,253.2250061
31-03-2026 17:30,253.9600067,252.3999939,253.1799927,3142090,253.1300049
31-03-2026 18:30,254.125,253.0200043,253.1199951,3514497,253.6699982
31-03-2026 19:30,255.4799957,253.2799988,253.6699982,7002121,253.7899933
01-04-2026 13:30,256.1799927,253.8200073,254.3000031,7295932,254.1201019
01-04-2026 14:30,254.7449951,253.3300018,254.1900024,3965408,254.1499939
01-04-2026 15:30,254.8200073,253.7599945,254.1499939,2571729,254.4300995
01-04-2026 16:30,255.3999939,254.2200012,254.4400024,4352734,255.1421967
01-04-2026 17:30,255.2799988,254.1000061,255.125,2614499,254.3099976
01-04-2026 18:30,255.6600037,253.9700012,254.3200073,3235556,255.6549988
01-04-2026 19:30,256.1300049,255.1501007,255.6399994,4782139,255.6900024
02-04-2026 13:30,254.7599945,250.6499939,254.1399994,6325362,252.125
02-04-2026 14:30,255.7200012,251.9900055,252.1100006,3633781,255.1199951
02-04-2026 15:30,255.1849976,254,255.1649933,1582954,254.1100006
02-04-2026 16:30,255.4853058,254.0700073,254.1300049,1421651,255.3350067
02-04-2026 17:30,255.3899994,254.3099976,255.3350067,1758702,255.1450043
02-04-2026 18:30,255.6999969,254.8000946,255.1600037,3309762,255.1199951
02-04-2026 19:30,256.1300049,254.8000031,255.1000061,3297591,255.8899994
