id,time,open_price,close_price
1,"2026-05-28 19:00:00",310.68,311.7
2,"2026-05-28 20:00:00",311.7,311.825
3,"2026-05-28 21:00:00",311.825,310.44
4,"2026-05-28 22:00:00",310.445,310.8
5,"2026-05-28 23:00:00",310.815,310.84
6,"2026-05-29 00:00:00",310.79,311.315
7,"2026-05-29 01:00:00",311.315,312.5
8,"2026-05-29 19:00:00",311.775,313.675
9,"2026-05-29 20:00:00",313.66,311.8
10,"2026-05-29 21:00:00",311.83,311.19
11,"2026-05-29 22:00:00",311.2,310.42
12,"2026-05-29 23:00:00",310.42,310.26
13,"2026-05-30 00:00:00",310.26,311.445
14,"2026-05-30 01:00:00",311.45,312.07
15,"2026-06-01 19:00:00",309.535,307.84
16,"2026-06-01 20:00:00",307.81,306.575
17,"2026-06-01 21:00:00",306.56,305.72
18,"2026-06-01 22:00:00",305.74,306.47
19,"2026-06-01 23:00:00",306.52,307.87
20,"2026-06-02 00:00:00",307.865,307.43
21,"2026-06-02 01:00:00",307.435,306.32
22,"2026-06-02 19:00:00",307.46,310.34
23,"2026-06-02 20:00:00",310.375,312.71
24,"2026-06-02 21:00:00",312.7,312.49
25,"2026-06-02 22:00:00",312.48,314.68
26,"2026-06-02 23:00:00",314.68,314.24
27,"2026-06-03 00:00:00",314.26,314.765
28,"2026-06-03 01:00:00",314.76,315.19
29,"2026-06-03 19:00:00",314.175,314.35
30,"2026-06-03 20:00:00",314.37,311.66
31,"2026-06-03 21:00:00",311.64,309.76
32,"2026-06-03 22:00:00",309.76,309.21
33,"2026-06-03 23:00:00",309.195,309.84
34,"2026-06-04 00:00:00",309.84,310.415
35,"2026-06-04 01:00:00",310.415,310.38
36,"2026-06-04 19:00:00",313.305,310.25
37,"2026-06-04 20:00:00",310.26,310.4
38,"2026-06-04 21:00:00",310.41,310.63
39,"2026-06-04 22:00:00",310.63,311.665
40,"2026-06-04 23:00:00",311.67,311.42
41,"2026-06-05 00:00:00",311.41,311.94
42,"2026-06-05 01:00:00",311.94,311.16
43,"2026-06-05 19:00:00",312.99,313.425
44,"2026-06-05 20:00:00",313.42,313.43
45,"2026-06-05 21:00:00",313.42,312
46,"2026-06-05 22:00:00",312.005,311.51
47,"2026-06-05 23:00:00",311.495,311.526
48,"2026-06-06 00:00:00",311.54,308.91
49,"2026-06-06 01:00:00",308.88,307.39
