Datetime,High,Low,Open,Volume,Close
,,,,,
2026-05-18 13:30:00,300.6300049,296.7000122,300.2399902,7655183,254.4799957
2026-05-18 14:30:00,298.5799866,295.480011,298.1400146,3859797,252.6199951
2026-05-18 15:30:00,296.8099976,295.019989,295.519989,2469524,251.7799988
2026-05-18 16:30:00,296.6799927,294.9100037,295.269989,3252874,250.4100037
2026-05-18 17:30:00,296.6849976,295.519989,296.0100098,3619911,249.3849945
2026-05-18 18:30:00,297.730011,295.4500122,296.1499023,3607433,248.4098969
2026-05-18 19:30:00,297.9200134,296.9049988,297.0899963,2992205,248.6199951
2026-05-19 13:30:00,300.5100098,296.8399963,298,9798484,247.8300018
2026-05-19 14:30:00,297.75,296.519989,296.9299927,3231900,246.5299988
2026-05-19 15:30:00,297.5799866,296.3649902,297.0599976,3248136,246.0200043
2026-05-19 16:30:00,298.730011,297.3599854,297.4100037,2831155,246.25
2026-05-19 17:30:00,298.486908,297.8399963,298.25,1931011,246.4801941
2026-05-19 18:30:00,298.4400024,297.4899902,297.8699951,2365400,245.8899994
2026-05-19 19:30:00,299.2200012,297.8399963,298.3900146,3821190,246.5399933
2026-05-20 13:30:00,302.3699951,298.0899963,298.1799927,7471000,248.940094
2026-05-20 14:30:00,300.5100098,299.0700073,299.5100098,3782669,248.4299927
2026-05-20 15:30:00,300.3200073,298.6700134,299.1600037,2831757,250.3399963
2026-05-20 16:30:00,301.269989,299.5700073,299.9899902,2841773,253.2250061
2026-05-20 17:30:00,301.7200012,300.9100037,301.0599976,3006343,253.1300049
2026-05-20 18:30:00,302.7999878,301.4700012,301.4700012,4224441,253.6699982
2026-05-20 19:30:00,302.519989,301.8575134,302.2000122,3803278,253.7899933
2026-05-21 13:30:00,303.0700073,300.3999939,301.0499878,6886720,254.1201019
2026-05-21 14:30:00,303.3599854,301.5801086,301.9299927,3181261,254.1499939
2026-05-21 15:30:00,304.2442932,302.9100037,303.0249939,3064971,254.4300995
2026-05-21 16:30:00,304.6799927,303.0498962,303.6199951,3041858,255.1421967
2026-05-21 17:30:00,305.1000061,304.3599854,304.6099854,3185835,254.3099976
2026-05-21 18:30:00,305.3250122,303.8900146,304.6199951,3338522,255.6549988
2026-05-21 19:30:00,305.5390015,304.5100098,305.2200012,4457107,255.6900024
2026-05-22 13:30:00,309.269989,305.8500061,306.0599976,9515427,252.125
2026-05-22 14:30:00,311.3999939,308.6199951,308.6350098,7739013,255.1199951
2026-05-22 15:30:00,311.0400085,309.7200012,311,4700296,254.1100006
2026-05-22 16:30:00,309.9899902,308.8200073,309.9299927,3550329,255.3350067
2026-05-22 17:30:00,310.1549988,308.9500122,309.8699951,2598845,255.1450043
2026-05-22 18:30:00,309.5799866,308.6400146,309.3150024,2681340,255.1199951
2026-05-22 19:30:00,309.3999939,307.9700012,308.7000122,4183601,255.8899994
